Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Maisonette,https://www.crunchbase.com/organization/maisonette,"E-Commerce, Fashion, Internet, Shopping","New York, New York, United States",Maisonette is a children‰Ûªs clothing and lifestyle e-commerce site.,"1,784",https://www.maisonette.com/,https://www.linkedin.com/in/luisana-mendoza-de-roccia-790197126/,info@maisonette.com,(844)624-7663,"Luisana Mendoza de Roccia, Sylvana Ward Durrett",Nov-50,2,Early Stage Venture,5/17/18,"$15,000,000 ",Series A,"$17,700,000 "
Vi,https://www.crunchbase.com/organization/lifebeam,"Biotechnology, Fitness, Health Care","New York, New York, United States",Vi is an AI companion for your body & mind ,"1,828",http://www.vitrainer.com/,http://www.linkedin.com/company/life-beam,info@vitrainer.com,,"Omri Yoffe, Zvika Orron",Nov-50,5,Early Stage Venture,1/3/18,"$20,000,000 ",Series A,"$38,665,676 "
Roomi ,https://www.crunchbase.com/organization/roomi,"Android, Apps, iOS, Location Based Services, Mobile, Real Estate","New York, New York, United States","Roomi is a free mobile platform that helps people find flexible, affordable co-living solutions.  ","1,863",http://roomiapp.com,https://www.linkedin.com/company/roomi/,hello@roomiapp.com,,Ajay Yadav,Nov-50,8,Early Stage Venture,11/14/17,"$11,000,000 ",Series A,"$16,960,000 "
Workframe,https://www.crunchbase.com/organization/workframe,"Collaboration, Commercial Real Estate, Enterprise Software, SaaS","New York, New York, United States",The workflow optimization platform for commercial real estate professionals,"1,893",https://workframe.com,https://www.linkedin.com/company-beta/10876047/,info@workframe.com,,"Andy Parsons, Matthew Smith, Robert Moore",Nov-50,3,Early Stage Venture,5/16/18,"$9,500,000 ",Series B,"$17,149,998 "
Splice,https://www.crunchbase.com/organization/splice,"Collaboration, Media and Entertainment, Music","New York, New York, United States","Splice streamlines the fragmented process of creating and sharing music, allowing musicians to focus on the creative process.","1,942",http://splice.com,http://www.linkedin.com/company/splice-com,beta@splice.com,,"Matt Aimonetti, Steve Martocci",Nov-50,4,Early Stage Venture,12/14/17,"$35,000,000 ",Series B,"$47,249,998 "
Daily Harvest,https://www.crunchbase.com/organization/daily-harvest,"Food and Beverage, Food Delivery, Organic Food","New York, New York, United States","Daily Harvest delivers superfood eats delivered to your door, frozen and ready to enjoy on your schedule.","1,959",http://daily-harvest.com,,hello@daily-harvest.com,,"Rachel Drori, Rachel Drori",10-Jan,3,Early Stage Venture,12/19/17,"$43,000,000 ",Series B,"$43,000,000 "
Dash,https://www.crunchbase.com/organization/dash-labs-inc,"Big Data, Finance, FinTech, Hardware, Internet of Things, Mobile, Software","New York, New York, United States","Dash Labs, Inc is a connected car platform","2,047",https://dash.by/,http://www.linkedin.com/company/dashmobile,contact@dash.by,,"Brian Langel, Jamyn Edis",10-Jan,5,Early Stage Venture,6/1/18,,Series A,"$1,900,000 "
Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,"Health Care, Health Diagnostics, Hospital","New York, New York, United States",Imagine a world where all patients are diagnosed instantly by leading experts.,"2,076",https://www.imagentechnologies.com/,,info@imagentechnologies.com,,"Alex Dresner, Rob Lindsey, Sumit Chopra, Tom Hotchkiss",Nov-50,2,Early Stage Venture,3/15/17,"$15,000,000 ",Series A,"$20,600,000 "
SeamlessDocs,https://www.crunchbase.com/organization/seamlessdocs,"Cloud Storage, Enterprise Software, Government, GovTech, Information Technology","New York, New York, United States",SeamlessDocs is a eSig and form automation platform that specializes in working with govs to help them digitize their PDF & form processes.,"2,104",http://www.SeamlessDocs.com,http://www.linkedin.com/company/seamlessdocs,je@SeamlessDocs.com,,"Chachi Camejo, Jonathon Ende",Nov-50,6,Early Stage Venture,3/15/18,"$7,500,000 ",Series B,"$15,950,000 "
Sure,https://www.crunchbase.com/organization/sure-inc,"Insurance, Internet, Mobile Apps, Software","New York, New York, United States",Sure is the newest innovation in personal insurance. We're launching on-demand insurance worldwide in 2016.,"2,111",http://www.sureapp.com/,https://www.linkedin.com/company/sure-insurance,,,Wayne Slavin,Nov-50,3,Early Stage Venture,6/14/17,"$8,000,000 ",Series A,"$10,600,000 "
Vettery,https://www.crunchbase.com/organization/vettery,"Internet, Recruiting, Software","New York, New York, United States",Vettery is the trusted hiring marketplace that connects top talent with growing companies.,"2,155",http://www.vettery.com,https://www.linkedin.com/company/vettery,connect@vettery.com,,"Adam Goldstein, Brett Adcock",Nov-50,3,M&A,8/16/16,"$9,000,000 ",Series A,"$11,925,000 "
BigID,https://www.crunchbase.com/organization/bigid,"Big Data, Network Security, Security","New York, New York, United States",BigID develops software that helps companies secure their customer data and satisfy privacy regulations like GDPR.,"2,158",https://www.bigid.com,https://www.linkedin.com/company/bigid,info@bigid.com,(917) 765-5752,"Dimitri Sirota, Nimrod Vax",Nov-50,4,Early Stage Venture,6/25/18,"$30,000,000 ",Series B,"$46,099,999 "
Fatherly,https://www.crunchbase.com/organization/fatherly,"Digital Media, E-Commerce, Social Media, Social Network","New York, New York, United States","Fatherly is the leading digital media brand for dads. Fatherly focuses on expert-driven, evidence-based content.","2,178",http://www.fatherly.com,https://www.linkedin.com/company/fatherly,hello@fatherly.com,,"Michael Rothman, Simon Isaacs",Nov-50,4,Early Stage Venture,10/27/17,,Series A,"$6,000,000 "
Resy,https://www.crunchbase.com/organization/resy-network,"Apps, Hospitality, Reservations, Restaurants, SaaS","New York, New York, United States",Resy is a mobile app for people who love eating at great restaurants but hate hassling for reservations.,"2,193",http://resy.com/,http://www.linkedin.com/company/resy-network-inc,info@resy.com,,"Ben Leventhal, Gary Vaynerchuk, Michael Montero",Nov-50,2,Early Stage Venture,1/9/17,"$13,000,000 ",Series A,"$15,000,000 "
Shine,https://www.crunchbase.com/organization/shine-text,"Messaging, Mobile Apps, SMS, Wellness","New York, New York, United States","Shine offers Shine Text, a free, daily motivational text message to make your morning better.","2,269",http://www.shinetext.com/,https://www.linkedin.com/company/shine-text/,help@shinetext.com,,"Marah Lidey, Naomi Hirabayashi",10-Jan,3,Early Stage Venture,4/4/18,"$5,000,000 ",Series A,"$8,250,000 "
SmartAsset,https://www.crunchbase.com/organization/smartasset,"Analytics, Finance, Personal Finance","New York, New York, United States","SmartAsset provides actionable, objective and easy-to-understand financial analytics and advice.","2,278",https://smartasset.com/,http://www.linkedin.com/company/smartasset-com,info@smartasset.com,,"Michael Carvin, Philip Camilleri",Nov-50,6,Late Stage Venture,6/19/18,"$28,000,000 ",Series C,"$51,431,095 "
Modern Meadow,https://www.crunchbase.com/organization/modern-meadow,"Advanced Materials, Agriculture, Biotechnology","Brooklyn, New York, United States",Modern Meadow is biofabricating a revolution in materials and ingredients for consumers and the planet.,"2,327",http://www.modernmeadow.com,http://www.linkedin.com/company/2884749,hello@modernmeadow.com,347-689-4317,"Andras Forgacs, Francoise Marga, Gabor Forgacs, Karoly Jakab",Nov-50,3,Early Stage Venture,6/28/16,"$40,000,000 ",Series B,"$53,500,000 "
GoTenna,https://www.crunchbase.com/organization/gotenna,"Consumer Electronics, Hardware, Messaging, Mobile, Privacy, Software","Brooklyn, New York, United States",GoTenna is a new device that pairs with your smartphone and lets you communicate with others even when you don't have service.,"2,347",http://www.gotenna.com,http://www.linkedin.com/company/2989033,press@gotenna.com,,"Daniela Perdomo, Jorge Perdomo",Nov-50,3,Early Stage Venture,4/13/17,"$7,500,000 ",Series B,"$16,800,000 "
Teachable,https://www.crunchbase.com/organization/fedora,"E-Commerce Platforms, EdTech, Education","New York, New York, United States",Teachable is a venture-backed company that makes it easy to teach and sell courses from your own website.,"2,352",https://teachable.com/,https://www.linkedin.com/company/fedora,contact@teachable.com,,"Ankur Nagpal, Conrad Wadowski",Nov-50,5,Early Stage Venture,4/16/18,"$4,000,000 ",Series A,"$12,500,000 "
The Farmer's Dog,https://www.crunchbase.com/organization/the-farmer-s-dog,"E-Commerce, Personalization, Subscription Service","New York, New York, United States","The Farmer's Dog makes balanced and freshly made pet food, personalized for your dog and delivered to your door.","2,412",https://thefarmersdog.com,,help@thefarmersdog.com,+1 (646) 780-7957,"Brett Podolsky, Jonathan Regev",10-Jan,2,Early Stage Venture,5/18/17,"$8,100,000 ",Series A,"$10,100,000 "
Loxo Oncology,https://www.crunchbase.com/organization/loxo-oncology,"Biopharma, Biotechnology, Genetics, Therapeutics","New York, New York, United States",Loxo Oncology is a biopharmaceutical company focused on targeted cancer therapies for genetically-defined patient populations.,"2,420",http://www.loxooncology.com/,,,+1 203-653-3880,Josh Bilenker,Nov-50,2,IPO,5/6/14,"$24,000,000 ",Series B,"$57,000,000 "
"Kasisto, Inc.",https://www.crunchbase.com/organization/kasisto-inc,"Artificial Intelligence, Computer, FinTech, Information Technology, Software","New York, New York, United States",Created the leading conversational AI platform for the finance industry with the most comprehensive production deployments.,"2,451",http://www.kasisto.com,http://www.linkedin.com/company/3773871,info@kasisto.com,,"Dror Oren, Sasha Caskey, Zor Gorelov",Nov-50,3,Early Stage Venture,12/13/17,"$17,000,000 ",Series B,"$28,450,000 "
TheGuarantors,https://www.crunchbase.com/organization/the-guarantors,"Credit, FinTech, Insurance, Real Estate","New York, New York, United States",InsureTech startup specializing in Real Estate,"2,472",https://www.theguarantors.com,https://www.linkedin.com/company/the-guarantors,contact@theguarantors.com,(917)327-5300,"Clement Miglietti, Julien Bonneville",Nov-50,2,Early Stage Venture,8/31/17,"$11,720,000 ",Series A,"$11,720,000 "
Burrow,https://www.crunchbase.com/organization/hiburrow,"Direct Sales, Furniture, Home Decor","New York, New York, United States",Burrow sells luxury furniture for real life. Their first product is a modular sofa sold through their innovative eCommerce experience.,"2,480",https://burrow.com/,https://www.linkedin.com/company/hi-burrow/,support@burrow.com,,"Kabeer Chopra, Stephen Kuhl",Nov-50,3,Early Stage Venture,3/21/18,"$14,000,000 ",Series A,"$19,220,000 "
Spring Inc,https://www.crunchbase.com/organization/spring-inc,"Apps, E-Commerce, Internet, Retail, Shopping","New York, New York, United States",Spring is a retail company that sells a wide range of items from apparel to home and garden items.,"2,536",http://shopspring.com,https://www.linkedin.com/company/spring-inc-?,,,"Alan Tisch, Ara Katz, David Tisch, Octavian Costache",Nov-50,3,Late Stage Venture,5/11/17,"$65,000,000 ",Series C,"$97,500,000 "
WayUp,https://www.crunchbase.com/organization/wayup,"Education, Internet, Recruiting","New York, New York, United States",WayUp connects students with jobs during and after college -- from summer internships to part-time gigs to full-time jobs after graduation.,"2,557",https://www.wayup.com,https://www.linkedin.com/company/5304501,,,"JJ Fliegelman, Liz Wessel",Nov-50,3,Early Stage Venture,3/23/17,"$18,500,000 ",Series B,"$27,268,000 "
AiCure,https://www.crunchbase.com/organization/ai-cure,"Artificial Intelligence, Clinical Trials, Health Care, Medical","New York, New York, United States","AiCure's intelligent medical assistant, IMA, leverages a visual recognition platform to monitor patient progress. ","2,565",http://www.aicure.com,http://www.linkedin.com/company/aicure,press@aicure.com,(800)570-0448,"Adam Hanina, Laura Shafner",Nov-50,2,Early Stage Venture,11/17/17,"$15,000,000 ",Series B,"$27,250,000 "
Slice Labs,https://www.crunchbase.com/organization/slice-labs,"FinTech, Information Technology, Insurance, InsurTech, Mobile Apps","New York, New York, United States",On-demand insurance for the on-demand economy.,"2,590",http://www.slice.is/,https://www.linkedin.com/company/10368001?trk=prof-exp-company-name,INFO@SLICE.IS,(212)380-1849,"Ernest Hursh, Stuart Baserman, Tim Attia",Nov-50,2,Early Stage Venture,10/5/17,"$11,600,000 ",Series A,"$15,500,000 "
PolicyGenius,https://www.crunchbase.com/organization/policy-genius,"Education, Finance, Insurance","New York, New York, United States",PolicyGenius offers insurance help without the insurance agent.,"2,646",https://www.policygenius.com,http://www.linkedin.com/company/2863431,geniushq@policygenius.com,(855) 695-2255,"Francois de Lame, Jennifer Fitzgerald",Nov-50,5,Late Stage Venture,5/24/17,"$30,000,000 ",Series C,"$51,050,000 "
Nomad Health,https://www.crunchbase.com/organization/nomad-health,"Health Care, Hospital, Marketplace, Recruiting","New York, New York, United States",Nomad is the first full-service marketplace for healthcare jobs.,"2,756",https://nomadhealth.com/,https://www.linkedin.com/company/nomad_health,info@nomadhealth.com,(866) 656-6623,"Alexi Nazem, Kevin Ryan, Maxwell  Laurens, Ryan Grant, Zander Pease",Nov-50,3,Early Stage Venture,2/27/18,"$12,000,000 ",Series B,"$16,000,000 "
LeafLink,https://www.crunchbase.com/organization/leaflink,"B2B, SaaS, Supply Chain Management, Wholesale","New York, New York, United States","As the industry standard wholesale management platform for the cannabis industry, LeafLink connects cannabis brands & retailers. ","2,787",http://leaflink.com/,https://www.linkedin.com/company/leaflink,info@leaflink.com,+1 (855) 273-6769 ,"Ryan Smith, Zach Silverman",Nov-50,6,Early Stage Venture,11/20/17,"$10,000,000 ",Series A,"$14,000,000 "
Quidd,https://www.crunchbase.com/organization/quidd,"Consumer Software, Marketplace, Mobile Apps","Brooklyn, New York, United States","Quidd is the leading platform for buying, trading and using premium, rare digital goods. ","2,792",http://quidd.co,https://www.linkedin.com/company/10152537/,contact@myquidd.com,(347) 474-8737,"Erich Wood, Michael Bramlage",Nov-50,3,Early Stage Venture,11/7/17,"$13,000,000 ",Series A,"$22,000,000 "
Primary,https://www.crunchbase.com/organization/primary,"Children, E-Commerce, Retail","New York, New York, United States","Founded by two moms, Primary is making better basic clothes for kids and building a better experience for busy parents to shop for them.","2,796",https://www.primary.com/,,help@primary.com,,"Christina Carbonell, Galyn Bernard",Nov-50,3,Early Stage Venture,2/14/18,"$19,766,387 ",Series B,"$27,766,387 "
The Players' Tribune,https://www.crunchbase.com/organization/the-players-tribune,"Digital Media, Gaming, Social Media, Sports","New York, New York, United States","The Players' Tribune is a new media platform that presents the voices of professional athletes, bringing fans closer to the games they love.","2,807",http://www.theplayerstribune.com/,https://www.linkedin.com/company/the-players'-tribune,info@playerstribune.com,,Derek Jeter,Nov-50,4,Late Stage Venture,1/19/17,"$40,000,000 ",Series C,"$58,000,000 "
M.Gemi,https://www.crunchbase.com/organization/m-gemi,"E-Commerce, Fashion, Retail","New York, New York, United States","Gorgeous shoes. Handcrafted in Italy. Direct to clients. Perfectly priced. At M.Gemi, we‰Ûªre reinventing luxury.","2,814",http://www.mgemi.com,,assistant@mgemi.com,16179922599,Ben Fischman,Nov-50,4,Late Stage Venture,6/20/17,"$16,000,000 ",Series C,"$52,000,000 "
Voltaiq,https://www.crunchbase.com/organization/voltaiq,"Analytics, Energy, Energy Storage, Information Technology, Predictive Analytics","Brooklyn, New York, United States",Voltaiq develops a software solution that is able to predict the performance of batteries and battery-powered systems.,"2,819",http://www.voltaiq.com,https://www.linkedin.com/company/voltaiq-inc-,info@voltaiq.com,(646) 586-3062,"Eli Leland, Ethan Leland, Tal Sholklapper",10-Jan,4,Early Stage Venture,5/31/18,"$6,600,000 ",Series A,"$8,600,000 "
